
央视,#genre#
CCTV-1 综合,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226559/index.m3u8$LR•IPV4•4『线路1』
CCTV-1 综合,http://218.13.14.6:60050/tsfile/live/1001_1.m3u8$LR•IPV4•4『线路2』
CCTV-1 综合,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001022/index.m3u8$LR•IPV6•4『线路3』
CCTV-1 综合,http://148.135.93.213:81/live.php?id=CCTV1$LR•IPV4•4『线路4』
CCTV-10 科教,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226473/index.m3u8$LR•IPV4•4『线路1』
CCTV-10 科教,http://218.13.14.6:60050/tsfile/live/1010_1.m3u8$LR•IPV4•4『线路2』
CCTV-10 科教,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001238/index.m3u8$LR•IPV6•4『线路3』
CCTV-10 科教,http://148.135.93.213:81/live.php?id=CCTV10$LR•IPV4•4『线路4』
CCTV-11 戏曲,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226565/index.m3u8$LR•IPV4•5『线路1』
CCTV-11 戏曲,http://218.13.14.6:60050/tsfile/live/1011_1.m3u8$LR•IPV4•5『线路2』
CCTV-11 戏曲,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001309/index.m3u8$LR•IPV6•5『线路3』
CCTV-11 戏曲,http://183.196.25.171:808/hls/11/index.m3u8$LR•IPV4•5『线路4』
CCTV-11 戏曲,http://148.135.93.213:81/live.php?id=CCTV11$LR•IPV4•5『线路5』
CCTV-12 社会与法,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226568/index.m3u8$LR•IPV4•4『线路1』
CCTV-12 社会与法,http://218.13.14.6:60050/tsfile/live/1012_1.m3u8$LR•IPV4•4『线路2』
CCTV-12 社会与法,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001239/index.m3u8$LR•IPV6•4『线路3』
CCTV-12 社会与法,http://148.135.93.213:81/live.php?id=CCTV12$LR•IPV4•4『线路4』
CCTV-13 新闻,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226571/index.m3u8$LR•IPV4•4『线路1』
CCTV-13 新闻,http://218.13.14.6:60050/tsfile/live/1013_1.m3u8$LR•IPV4•4『线路2』
CCTV-13 新闻,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001328/index.m3u8$LR•IPV6•4『线路3』
CCTV-13 新闻,http://148.135.93.213:81/live.php?id=CCTV13$LR•IPV4•4『线路4』
CCTV-14 少儿,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226591/index.m3u8$LR•IPV4•4『线路1』
CCTV-14 少儿,http://218.13.14.6:60050/tsfile/live/1014_1.m3u8$LR•IPV4•4『线路2』
CCTV-14 少儿,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001240/index.m3u8$LR•IPV6•4『线路3』
CCTV-14 少儿,http://148.135.93.213:81/live.php?id=CCTV14$LR•IPV4•4『线路4』
CCTV-15 音乐,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226476/index.m3u8$LR•IPV4•4『线路1』
CCTV-15 音乐,http://218.13.14.6:60050/tsfile/live/1015_1.m3u8$LR•IPV4•4『线路2』
CCTV-15 音乐,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001338/index.m3u8$LR•IPV6•4『线路3』
CCTV-15 音乐,http://148.135.93.213:81/live.php?id=CCTV15$LR•IPV4•4『线路4』
CCTV-16 奥林匹克,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8$LR•IPV4•4『线路1』
CCTV-16 奥林匹克,http://www.lizhinas.top:1009/rtp/239.252.220.237:5140$LR•IPV4•4『线路2』
CCTV-16 奥林匹克,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001258/index.m3u8$LR•IPV6•4『线路3』
CCTV-16 奥林匹克,http://148.135.93.213:81/live.php?id=CCTV16$LR•IPV4•4『线路4』
CCTV-17 农业农村,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8$LR•IPV4•5『线路1』
CCTV-17 农业农村,http://tv.20191209.xyz:37377/migu/673168256.m3u8?migutoken=eb3fbda758006d66837b5b6ef1b7ab6847a99f05f6b3303861d81e6e1335349499a40c8479d9a801327519db10547f9870398da6796159db51812e236c1b6c07d2c0f7e5bc32101c9cc222dc$LR•IPV4•5『线路2』
CCTV-17 农业农村,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001241/index.m3u8$LR•IPV6•5『线路3』
CCTV-17 农业农村,http://183.196.25.171:808/hls/93/index.m3u8$LR•IPV4•5『线路4』
CCTV-17 农业农村,http://148.135.93.213:81/live.php?id=CCTV17$LR•IPV4•5『线路5』
CCTV1综合,http://112.27.235.94:8000/hls/1/index.m3u8$LR•IPV4•19『线路1』
CCTV1综合,http://182.114.48.220:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4•19『线路2』
CCTV1综合,http://58.57.40.22:9901/tsfile/live/0001_1.m3u8$LR•IPV4•19『线路3』
CCTV1综合,http://play.kankanlive.com/live/1661761962676984.m3u8$LR•IPV4•19『线路4』
CCTV1综合,http://112.123.206.32:808/hls/1/index.m3u8$LR•IPV4•19『线路5』
CCTV1综合,http://8.138.7.223/【公众号：榴芒电视】/cctv1.m3u8$LR•IPV4•19『线路6』
CCTV1综合,http://183.11.239.36:808/hls/19/index.m3u8$LR•IPV4•19『线路7』
CCTV1综合,http://a.402089.xyz:4022/rtp/233.50.200.143:5140$LR•IPV4•19『线路8』
CCTV1综合,http://php.jdshipin.com/TVOD/iptv.php?id=rthk33$LR•IPV4•19『线路9』
CCTV1综合,http://iptv.huuc.edu.cn/hls/cctv1hd.m3u8$LR•IPV4•19『线路10』
CCTV1综合,https://www.freetv.top/migu/608807420.m3u8?migutoken=5b04cf0d91179ab2d3d71703f0a8bc3d32dd02f7d8fb55ee70e05c216b8a9d1a73d911fbde798459fb66d94934157c996f8306c0dd37917775f2ed73dcc22cf84b25ca500bff5c636ff48d6344$LR•IPV4•19『线路11』
CCTV1综合,https://smart.pendy.dpdns.org/Smart.php?id=cctv1$LR•IPV4•19『线路12』
CCTV1综合,http://fm1077.serv00.net/Smart.php?id=cctv1$LR•IPV4•19『线路13』
CCTV1综合,http://[2409:8087:1:20:20::29]/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226895/1.m3u8?servicetype=1&accountinfo=%7E%7EV2.0%7EI0Rkc6neBYgfpoJ1yud8Fw%7EPepnxHHB2d6Hk2dZWM77MyFlBN5q1KnYLvimM9pqT7Epd7QgO4HFWH0z34SUb2Vs%7EExtInfo9bj61dxzlMXrsixrqcFYPg%3A20240420192714%2C%2C%2C20240420192714%2C%2C10001000275495%2C-1%2C0%2C1%2C-1%2C%2C2%2C2201300%2C%2C%2C2%2C%2C%2CEND&GuardEncType=2$LR•IPV6•19『线路14』
CCTV1综合,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226016/index.m3u8$LR•IPV6•19『线路15』
CCTV1综合,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226338/1.m3u8$LR•IPV6•19『线路16』
CCTV1综合,http://[2409:8087:1a0a:df::404b]/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226559/index.m3u8$LR•IPV6•19『线路17』
CCTV1综合,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8$LR•IPV6•19『线路18』
CCTV1综合,https://live.chinacert.cftest5.cn/mg/?id=608807420$LR•IPV4•19『线路19』
CCTV10科教,http://112.27.235.94:8000/hls/11/index.m3u8$LR•IPV4•19『线路1』
